year_x,municip_name,species,municip_code,month,year_offset,waspbust_id,colonies_amount,food_fruit,food_apple,food_txakoli,food_kiwi,food_pear,food_blueberry,food_raspberry,station_code,index,MMM,station_name,weath_days_frost,weath_humidity,weath_maxLevel,weath_midLevel,weath_minLevel,weath_days_rain,weath_days_rain1mm,weath_accuRainfall,weath_10minRainfall,weath_1dayRainfall,weath_solar,weath_meanTemp,weath_maxTemp,weath_maxMeanTemp,weath_minTemp,weath_meanWindM,weath_maxWindM,weath_meanDayMaxWind,population
2018,Abadiño,Vespa Velutina,48001.0,1,2017,1,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0B7,150,ENE,Mañaria,17.0,82.4,1.114,0.33799999999999997,0.19834101199999998,10.0,9.0,228.6,1.9,63.1,12.45222408,4.3,16.8,8.5,0.8,10.34960976,82.10233568,40.16781083,7533
2018,Abadiño,Vespa Velutina,48001.0,2,2017,4,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0B7,559,FEB,Mañaria,1.0,73.7,0.688,0.257,0.177481766,12.0,10.0,119.6,3.2,24.4,12.54934544,9.5,17.9,14.8,4.6,10.26727641,75.44230633,40.12514774,7533
2018,Abadiño,Vespa Velutina,48001.0,3,2017,1,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0B7,968,MAR,Mañaria,0.0,72.1,0.61,0.251,0.183119835,14.0,12.0,101.0,2.4,23.0,12.52644616,11.1,27.5,16.8,6.0,10.09632037,74.28890437,40.10828685,7533
2018,Abadiño,Vespa Velutina,48001.0,5,2017,3,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0B7,1786,MAY,Mañaria,0.0,71.1,0.5820000000000001,0.172,0.145381075,18.0,8.0,88.4,4.8,40.5,12.46010633,16.7,35.5,23.9,10.2,10.57396169,72.71969918,40.122893299999994,7533
2018,Abadiño,Vespa Velutina,48001.0,6,2017,1,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0B7,2195,JUN,Mañaria,0.0,78.1,0.312,0.146,0.151126621,18.0,13.0,76.9,3.3,18.0,12.54824688,19.0,38.4,25.1,14.1,11.00403757,73.72870173,40.19000804,7533
2018,Abadiño,Vespa Velutina,48001.0,7,2017,7,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0B7,2604,JUL,Mañaria,0.0,77.4,0.414,0.157,0.152283104,14.0,7.0,59.5,7.5,24.0,12.54335118,19.9,37.0,25.8,14.9,11.20336718,74.58753417,40.168338299999995,7533
2018,Abadiño,Vespa Velutina,48001.0,8,2017,16,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0B7,3013,AGO,Mañaria,0.0,77.8,0.262,0.13699999999999998,0.156278003,14.0,10.0,62.4,9.6,20.2,12.54670752,19.6,36.5,26.1,14.6,11.24351504,74.75134869,40.179885299999995,7533
2018,Abadiño,Vespa Velutina,48001.0,9,2017,12,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0B7,3422,SET,Mañaria,0.0,83.1,0.498,0.19,0.17450159899999998,16.0,13.0,102.2,2.2,21.2,12.56519102,16.1,29.2,21.8,11.3,11.84407241,75.91456442,40.16982026,7533
2018,Abadiño,Vespa Velutina,48001.0,10,2017,5,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0B7,3831,OCT,Mañaria,0.0,81.1,0.14800000000000002,0.111,0.173712809,13.0,5.0,21.8,1.2,9.4,12.54794902,15.3,28.5,21.7,9.9,11.59640332,74.50571724,40.12591875,7533
2018,Abadiño,Vespa Velutina,48001.0,11,2017,3,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0B7,4240,NOV,Mañaria,2.0,83.0,0.8,0.261,0.180526496,16.0,15.0,186.4,1.9,42.8,12.56026008,9.1,21.0,13.4,5.6,10.96380877,74.03858333,40.16225434,7533
