year_x,municip_name,species,municip_code,month,year_offset,colonies_amount,food_fruit,food_apple,food_txakoli,food_kiwi,food_pear,food_blueberry,food_raspberry,station_code,index,MMM,station_name,weath_days_frost,weath_humidity,weath_maxLevel,weath_midLevel,weath_minLevel,weath_days_rain,weath_days_rain1mm,weath_accuRainfall,weath_10minRainfall,weath_1dayRainfall,weath_solar,weath_meanTemp,weath_maxTemp,weath_maxMeanTemp,weath_minTemp,weath_meanWindM,weath_maxWindM,weath_meanDayMaxWind,population
2020,AbadiÃ±o,Vespa Velutina,48001,1,2019,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0B7,358,ENE,Mañaria,5.0,87.4,1.091,0.324,0.11800000000000001,25.0,17.0,273.9,2.5,50.9,12.50144864,6.1,16.0,8.8,3.4,10.61388339,74.70299512,40.08291572,
2020,Abanto y CiÃ©rvana-Abanto Zierbena,Vespa Velutina,48002,1,2019,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C061,340,ENE,Arboleda,2.0,86.9,0.980463924,0.418430154,0.199952383,21.0,17.0,230.9,4.5,46.4,12.46907633,7.3,16.1,9.7,5.0,13.1,83.2,44.1,
2020,Ajangiz,Vespa Velutina,48911,1,2019,0.0,17.0,1.0,3.0,15.0,0.0,0.0,0.0,C063,361,ENE,Muxika,5.0,88.1,1.594,0.355,0.14,23.0,17.0,286.3,2.8,44.7,12.48936059,7.1,17.8,10.8,3.6,10.90705413,74.8678045,40.09089739,
2020,Alonsotegi,Vespa Velutina,48912,1,2019,200.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,C0C4,4911,ENE,Sodupe-Cadagua,0.9486965079999999,78.00210554,1.8630000000000002,0.552,0.256,15.81571772,11.57979831,107.66785890000001,3.164834895,25.97183822,12.52318741,13.05821089,26.28654274,18.12567896,8.551259882,10.85028421,74.89814142,40.13447886,
2020,Amorebieta-Etxano,Vespa Velutina,48003,1,2019,267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C079,338,ENE,Amorebieta,4.0,87.6,2.6039999999999996,0.614,0.214,23.0,18.0,283.0,3.1,49.9,12.50896161,6.3,17.2,9.7,3.5,10.96943499,74.58712647,40.14360689,
2020,Amoroto,Vespa Velutina,48004,1,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C0BA,363,ENE,Oleta,2.0,87.9,1.8719999999999999,0.37,0.14800000000000002,22.0,18.0,195.4,2.8,40.7,12.53422206,8.0,17.7,11.2,5.1,10.945677499999999,74.40254054,40.12407099,
2020,Arakaldo,Vespa Velutina,48005,1,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C032,341,ENE,Areta,5.0,88.1,1.265,0.376,0.20600000000000002,23.0,16.0,262.7,1.9,50.0,12.65740382,6.1,17.4,10.0,3.1,4.2,67.0,26.4,
2020,Arantzazu,Vespa Velutina,48006,1,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C033,354,ENE,Igorre,6.0,85.64210814,0.98489244,0.34873625399999997,0.20349953,22.0,17.0,293.5,2.4,46.6,12.58638391,6.5,17.8,10.2,3.6,6.2,76.3,30.3,
2020,Areatza,Vespa Velutina,48093,1,2019,35.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,C033,354,ENE,Igorre,6.0,85.64210814,0.98489244,0.34873625399999997,0.20349953,22.0,17.0,293.5,2.4,46.6,12.58638391,6.5,17.8,10.2,3.6,6.2,76.3,30.3,
2020,Arrankudiaga,Vespa Velutina,48009,1,2019,0.0,275.0,50.0,63.0,19.0,4.0,3.0,0.0,C032,341,ENE,Areta,5.0,88.1,1.265,0.376,0.20600000000000002,23.0,16.0,262.7,1.9,50.0,12.65740382,6.1,17.4,10.0,3.1,4.2,67.0,26.4,
