"","fecha","codigo","año","mes","ESTACION","TIPO","cota..m.","latitude","longitude","hum_imputed_proba","lev_max_imputed_proba","lev_mid_imputed_proba","lev_min_imputed_proba","month","rain_1mm","rain_cum","rain_imputed_proba","rain_max_10_imputed_proba","rain_max_day_imputed_proba","sun_imputed_proba","temp_avg_imputed_proba","temp_max_abs_imputed_proba","temp_max_avg_imputed_proba","temp_min_abs_imputed_proba","wind_avg_imputed_proba","wind_max_avg","wind_max_imputed_proba"
"1",2016-01-01,"C001",2016,1,"Arkaute","M",517,42.9012711047293,-2.72437743707367,NA,0.00990098994225264,0.00990098994225264,0.0795018225908279,"ENE",13,84.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8,NA
"2",2016-07-01,"C001",2016,7,"Arkaute","M",517,42.9012711047293,-2.72437743707367,NA,0.00990098994225264,0.00990098994225264,0.0802818462252617,"JUL",3,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,NA
"3",2016-05-01,"C001",2016,5,"Arkaute","M",517,42.9012711047293,-2.72437743707367,NA,0.00990098994225264,0.00990098994225264,0.0902274996042252,"MAY",9,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,NA
"4",2016-10-01,"C001",2016,10,"Arkaute","M",517,42.9012711047293,-2.72437743707367,NA,0.00990098994225264,0.00990098994225264,0.0504041127860546,"OCT",7,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4,NA
"5",2016-02-01,"C001",2016,2,"Arkaute","M",517,42.9012711047293,-2.72437743707367,NA,0.00990098994225264,0.00990098994225264,0.0751949846744537,"FEB",17,188.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.4,NA
"6",2016-11-01,"C001",2016,11,"Arkaute","M",517,42.9012711047293,-2.72437743707367,NA,0.00990098994225264,0.00990098994225264,0.0661312192678452,"NOV",11,115.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3,NA
"7",2016-12-01,"C001",2016,12,"Arkaute","M",517,42.9012711047293,-2.72437743707367,NA,0.00990098994225264,0.00990098994225264,0.0658109858632088,"DIC",3,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.8,NA
"8",2016-08-01,"C001",2016,8,"Arkaute","M",517,42.9012711047293,-2.72437743707367,NA,0.00990098994225264,0.00990098994225264,0.0693912282586098,"AGO",3,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8,NA
"9",NA,"C001",NA,NA,"Arkaute","M",517,42.9012711047293,-2.72437743707367,NA,0.00990098994225264,0.00990098994225264,0.103748239576817,"SET",9,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5,NA
"10",2016-06-01,"C001",2016,6,"Arkaute","M",517,42.9012711047293,-2.72437743707367,NA,0.00990098994225264,0.00990098994225264,0.0928954258561134,"JUN",8,44.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.8,NA
"11",2016-03-01,"C001",2016,3,"Arkaute","M",517,42.9012711047293,-2.72437743707367,NA,0.00990098994225264,0.00990098994225264,0.0761706158518791,"MAR",17,108.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,NA
"12",2016-04-01,"C001",2016,4,"Arkaute","M",517,42.9012711047293,-2.72437743707367,NA,0.00990098994225264,0.00990098994225264,0.0758955180644989,"ABR",14,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8,NA
"13",2018-08-01,"C002",2018,8,"Arteaga","M",19,43.2993641263157,-2.76471650622489,NA,0.00990098994225264,0.00990098994225264,0.0768988505005836,"AGO",9,76.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6,NA
"14",2017-06-01,"C002",2017,6,"Arteaga","M",19,43.2993641263157,-2.76471650622489,NA,0.00990098994225264,0.00990098994225264,0.106741145253181,"JUN",9,57.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.2,NA
"15",2019-07-01,"C002",2019,7,"Arteaga","M",19,43.2993641263157,-2.76471650622489,NA,0.00990098994225264,0.00990098994225264,0.0728864520788193,"JUL",11,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.9,NA
"16",NA,"C002",NA,NA,"Arteaga","M",19,43.2993641263157,-2.76471650622489,NA,0.00990098994225264,0.00990098994225264,0.106849834322929,"SET",15,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7,NA
"17",2017-02-01,"C002",2017,2,"Arteaga","M",19,43.2993641263157,-2.76471650622489,NA,0.00990098994225264,0.00990098994225264,0.0739059969782829,"FEB",10,91.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.7,NA
"18",2018-01-01,"C002",2018,1,"Arteaga","M",19,43.2993641263157,-2.76471650622489,NA,0.00990098994225264,0.00990098994225264,0.0805536136031151,"ENE",22,239.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA
"19",2019-06-01,"C002",2019,6,"Arteaga","M",19,43.2993641263157,-2.76471650622489,NA,0.00990098994225264,0.00990098994225264,0.099456898868084,"JUN",4,36.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.4,NA
